Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Borja Garcés;Fuenlabrada;La Liga 2;Spain;21;Centre Forward;Right Centre Forward;1284,4335;49,01838966;24,918011;26,09133507;13,43832693;39,56162909;24,79201062;52,99373935;42,80888876;31,53567903
Óscar Clemente;Las Palmas;La Liga 2;Spain;22;Right Midfielder;Centre Attacking Midfielder;1193,2334;0,011435389;28,84122421;44,31712375;7,193804362;31,87980191;59,5242357;33,6457742;42,79048615;31,52212253
Jeff Hendrick;Newcastle United;Premier League;Republic of Ireland;29;Centre Defensive Midfielder;Right Midfielder;1524,6997;40,5133123;24,11374262;37,42208936;7,971374414;19,67062772;18,26659237;46,81521452;42,73942581;44,97786903
Roberto Soldado;Granada;La Liga;Spain;36;Centre Forward;Left Centre Forward;1538,2999;59,90201681;17,09320904;25,83703142;6,874653449;21,20338597;20,94656769;51,28536243;42,69524458;44,93137384
Marco Meilinger;Altach;Bundesliga;Austria;29;Right Wing;Right Centre Forward;1252,3168;19,01083064;38,59648486;35,55819421;8,450357523;31,18819277;46,96904812;47,02626258;42,69321652;26,95754374
Marco Richter;Augsburg;1. Bundesliga;Germany;23;Right Wing;Right Centre Forward;1499,2;15,68897026;46,04896874;24,70083159;13,91383698;36,7961485;29,33009238;46,85264979;42,67553102;38,17403363
Paulinho;Sporting Braga;Primeira Liga;Portugal;28;Centre Forward;Right Centre Forward;1127,7666;16,45198019;28,93331173;33,10486263;43,76532751;22,04437862;39,57181861;46,02534513;42,66560859;40,41016712
Aitor García;Sporting Gijón;La Liga 2;Spain;27;Left Wing;Left Midfielder;2722,5503;7,380912161;34,53080809;33,17080877;9,992276032;35,71069614;40,80695729;37,53161064;42,6475136;31,41680009
Famara Diédhiou;Bristol City;Championship;Senegal;28;Centre Forward;Right Centre Forward;2332,3499;54,81041496;25,29379049;24,49414988;12,92430848;20,65216038;16,59150248;53,82224081;42,63436198;38,13720718
Immanuel Pherai;PEC Zwolle;Eredivisie;Netherlands;20;Left Wing;Centre Attacking Midfielder;1717,0336;11,37793547;25,81087713;30,46868897;19,86634524;33,54313711;68,48562552;39,36557774;42,59390142;31,37730604
Anthony Musaba;Cercle Brugge;Jupiler Pro League;Netherlands;20;Right Wing;Right Centre Forward;2186,65;31,88410567;27,4104164;36,12722573;18,02679621;20,58619605;26,2278409;46,91222364;42,54192133;31,33901429
Paco Alcácer;Villarreal;La Liga;Spain;27;Centre Forward;Left Centre Forward;1613,6835;35,54001942;26,75268769;28,59225632;31,73648059;19,30341296;36,40894578;51,21379852;42,53943121;44,76739987
Rubén Martínez;UD Logroñés;La Liga 2;Spain;31;Right Wing;Left Midfielder;1223,8667;10,42757984;33,68486605;33,85493308;5,274168362;40,80578979;48,49830114;39,02819669;42,53311495;31,33252696
Mario Engels;Sparta Rotterdam;Eredivisie;Germany;27;Left Wing;Left Centre Forward;1570,3333;28,07640777;27,2350328;26,63101728;19,37562933;26,02682607;41,59852179;45,08868565;42,52078781;31,32344603
Fabrício;Portimonense;Primeira Liga;Brazil;31;Left Wing;Centre Forward;1824,2499;11,82391005;33,64068405;32,15518192;5,444972933;35,72906575;62,856817;40,776466;42,51715911;40,26956516
Mateo Klimowicz;VfB Stuttgart;1. Bundesliga;Argentina;20;Right Centre Forward;Left Wing;1261,9501;8,03559644;34,55674352;39,69143452;15,82256773;29,59503244;55,26931935;41,88756431;42,49729469;38,01459802
Jairo Izquierdo;Cádiz;La Liga;Spain;27;Left Midfielder;Left Back;1397,2833;22,27566608;29,35502352;32,75545452;10,39196298;44,52489242;15,66834864;40,56388644;42,42549042;44,64749153
Louie Sibley;Derby County;Championship;England;19;Centre Attacking Midfielder;Left Wing;1174,8333;10,16015485;30,46642108;25,06678189;4,887838286;49,63872981;60,83213074;37,03092992;42,37252709;37,90299114
Ivan Azón;Real Zaragoza;La Liga 2;Spain;18;Centre Forward;Right Centre Forward;1167,6832;27,04519562;29,40801384;19,83242358;3,614664354;44,35998317;45,56888894;42,40189155;42,35299743;31,19984124
Shon Zalman Weissman;Real Valladolid;La Liga;Israel;25;Centre Forward;Right Centre Forward;2238,7;38,54995496;22,39865815;29,52758489;12,67265215;28,2741277;40,99632038;47,28398107;42,33778881;44,55519661
Dani Ojeda;Alcorcón;La Liga 2;Spain;26;Left Midfielder;Left Wing;1459,7166;18,93311687;25,64951718;40,48476817;10,64046956;19,40794245;43,62174935;39,73529889;42,33437862;31,18612547
James McClean;Stoke City;Championship;Republic of Ireland;32;Left Wing;Left Wing Back;1642,6334;30,27104995;19,15965484;28,39791616;10,46441829;42,52952702;48,55403164;41,78505072;42,30181879;37,83974129
Irvin Cardona;Stade Brestois;Ligue 1;France;23;Left Centre Forward;Right Centre Forward;2154,7334;37,6892865;17,87484781;30,82476145;13,54948088;21,70215003;41,04250497;44,18003596;42,26882458;40,03435839
Jordi Mboula;Mallorca;La Liga 2;Spain;22;Right Wing;Right Midfielder;1397,3167;8,267391563;33,80918133;30,09893969;21,58221495;44,38480838;48,59710694;41,08285644;42,20232277;31,08884495
Joselu;Deportivo Alavés;La Liga;Spain;31;Right Centre Forward;Left Centre Forward;3203,9998;27,08492694;29,66801989;26,32164351;15,05498242;29,03261415;32,29747919;44,04015192;42,20063541;44,41085991
